script: matlab/live/run_sensorB_live_session.m
sensor_id: sensor_B
plot_sensor_numeric_id: 1
second_sensor_numeric_id: 2
requested_port: (auto)
port: COM4
port_resolution_mode: relay_signature
port_resolution_detail: relay ESP-NOW identificado por stream serial
baud: 115200
duration_s: 60.000
session_name: live
file_prefix: probe2
accel_mode: nominal_quick_g
samples: 11653
stream_duration_s: 60.469999
freq_hz: 192.690594
seq_jumps: 83
invalid_lines_ignored: 0
header_seen: true
bias_mv: 1628.829146,142.000000,142.000000
sens_mv_per_g: 300.000000,300.000000,300.000000
sensor_1_label: sensor_B
sensor_1_samples: 5960
sensor_1_freq_hz: 98.544735
sensor_1_seq_jumps: 83
sensor_1_g_norm_median: 0.007208
sensor_1_max_saturation_pct: 100.000000
sensor_1_logic_status: fail
sensor_1_logic_reason: adc_saturation
sensor_2_label: sensor_A
sensor_2_samples: 5693
sensor_2_freq_hz: 94.144891
sensor_2_seq_jumps: 292
sensor_2_g_norm_median: 1.373058
sensor_2_max_saturation_pct: 0.000000
sensor_2_logic_status: pass
sensor_2_logic_reason: basic_live_sanity_ok
raw_csv_relpath: data/raw/sensor_B_live/probe2_live_20260331_111438_raw.csv
processed_csv_relpath: data/processed/probe2_live_20260331_111438_processed.csv
mat_relpath: data/processed/probe2_live_20260331_111438_session.mat
summary_txt_relpath: reports/analysis_outputs/probe2_live_20260331_111438_summary.txt
next_block_input_relpath: data/processed/probe2_live_20260331_111438_processed.csv
